player_name,predicted_points
Patrick Mahomes,268.93076
Josh Allen,268.93076
Tua Tagovailoa,268.93076
Dak Prescott,268.93076
Jordan Love,268.93076
Brock Purdy,268.93076
Jared Goff,268.93076
C.J. Stroud,268.93076
Baker Mayfield,268.93076
Mason Rudolph,268.93076
Matthew Stafford,268.93076
Jalen Hurts,268.93076
Joe Flacco,268.93076
Lamar Jackson,268.93076
Davis Mills,268.93076
Ja'Marr Chase,239.92993
Geno Smith,239.31953
Russell Wilson,200.36536
Daniel Jones,165.14896
Aidan O'Connell,149.90846
Joe Burrow,147.1437
Justin Jefferson,146.7648
Derek Carr,146.16154
Bryce Young,140.78816
Joshua Dobbs,138.87009
Joshua Dobbs,138.87009
Bijan Robinson,134.26157
Justin Herbert,131.03603
Kirk Cousins,130.38113
A.J. Brown,130.09756
C.J. Stroud,130.00394
Anthony Richardson,129.7596
Alvin Kamara,129.6029
Robert Woods,124.89552
Olamide Zaccheaus,124.89552
Diontae Johnson,124.89552
Odell Beckham,124.89552
Xavier Hutchinson,124.89552
Christian Watson,124.89552
Deven Thompkins,124.89552
Tutu Atwell,124.89552
Ben Skowronek,124.89552
Calvin Austin III,124.89552
Mecole Hardman,124.89552
Brandin Cooks,124.89552
Elijah Moore,124.89552
Deebo Samuel,124.89552
Justin Watson,124.89552
Ray-Ray McCloud,124.89552
Cedrick Wilson,124.89552
Braxton Berrios,124.89552
Stefon Diggs,124.89552
Trent Sherfield,124.89552
Jauan Jennings,124.89552
Trey Palmer,124.89552
Amari Cooper,124.89552
Jalen Tolbert,124.89552
Amon-Ra St. Brown,124.89552
Allen Robinson,124.89552
Mike Evans,124.89552
Mecole Hardman,124.89552
DeVonta Smith,124.89552
John Metchie,124.89552
Jaylen Waddle,124.89552
Romeo Doubs,124.89552
Bo Melton,124.89552
Dontayvion Wicks,124.89552
River Cracraft,124.89552
Marquez Valdes-Scantling,124.89552
Rashee Rice,124.89552
Chris Conley,124.89552
Demarcus Robinson,124.89552
Chris Godwin,124.89552
David Bell,124.89552
Josh Reynolds,124.89552
Tyreek Hill,124.89552
Zay Flowers,124.89552
CeeDee Lamb,124.89552
Cooper Kupp,124.89552
Noah Brown,124.89552
David Moore,124.89552
Nico Collins,124.89552
Jameson Williams,124.89552
Rashod Bateman,124.89552
George Pickens,124.89552
Brandon Aiyuk,124.89552
Khalil Shakir,124.89552
Nelson Agholor,124.89552
Puka Nacua,124.89552
Jayden Reed,124.89552
Justin Fields,124.53411
Breece Hall,116.197815
Jalen Hurts,115.24714
Jordan Love,113.38846
Tua Tagovailoa,112.95288
Jared Goff,112.35077
Christian McCaffrey,111.9772
Kyren Williams,111.142395
Joe Flacco,110.725555
Drew Lock,109.25873
Adam Thielen,108.58641
Andy Dalton,108.325554
Jarrett Stidham,107.452034
James Conner,107.445526
Devin Singletary,106.43115
Tony Pollard,106.43115
De'Von Achane,106.43115
Najee Harris,106.43115
Craig Reynolds,106.43115
Rachaad White,106.43115
Ty Johnson,106.43115
Jaylen Warren,106.43115
Aaron Jones,106.43115
Dalvin Cook,106.43115
Isiah Pacheco,106.43115
Dare Ogunbowale,106.43115
James Cook,106.43115
Christian McCaffrey,106.43115
Ronnie Rivers,106.43115
Kyle Juszczyk,106.43115
Gus Edwards,106.43115
Clyde Edwards-Helaire,106.43115
Rico Dowdle,106.43115
Jahmyr Gibbs,106.43115
Raheem Mostert,106.43115
Justice Hill,106.43115
Patrick Taylor,106.43115
Dameon Pierce,106.43115
Jeffery Wilson,106.43115
Emanuel Wilson,106.43115
D'Andre Swift,106.43115
Kareem Hunt,106.43115
Jerome Ford,106.43115
Andrew Beck,106.43115
Kyren Williams,106.43115
Kenneth Gainwell,106.43115
David Montgomery,106.43115
Sam Howell,106.07745
Joe Mixon,105.2378
Saquon Barkley,104.88045
Bailey Zappe,104.63622
Kenny Pickett,104.1269
Gardner Minshew,103.41094
Trevor Lawrence,102.582756
Matthew Stafford,102.13604
Drake London,100.620384
Mac Jones,99.84696
Deshaun Watson,99.75985
Garrett Wilson,98.49711
Jimmy Garoppolo,98.295845
Amari Cooper,95.54213
Josh Allen,93.27387
Jordan Addison,92.90398
Rhamondre Stevenson,91.86825
Charlie Kolar,91.12802
Tucker Kraft,91.12802
Dalton Schultz,91.12802
